,Churn
0,0
1,0
2,1
3,0
4,1
5,1
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,1
19,0
20,1
21,0
22,1
23,0
24,0
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,1
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,0
51,1
52,0
53,1
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,1
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,1
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,1
96,0
97,1
98,0
99,1
100,0
101,0
102,0
103,0
104,1
105,0
106,0
107,0
108,0
109,0
110,1
111,0
112,0
113,1
114,0
115,0
116,0
117,1
118,0
119,0
120,0
121,0
122,1
123,0
124,0
125,0
126,1
127,0
128,0
129,0
130,0
131,1
132,0
133,1
134,1
135,0
136,0
137,0
138,0
139,1
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,1
162,0
163,0
164,0
165,0
166,1
167,0
168,1
169,0
170,0
171,1
172,0
173,1
174,0
175,0
176,1
177,1
178,0
179,0
180,1
181,0
182,1
183,0
184,1
185,1
186,0
187,0
188,0
189,0
190,0
191,1
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,1
208,1
209,0
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,1
221,0
222,0
223,1
224,0
225,0
226,0
227,1
228,0
229,0
230,0
231,0
232,1
233,0
234,0
235,1
236,0
237,0
238,1
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,1
248,1
249,0
250,0
251,1
252,1
253,0
254,0
255,0
256,0
257,0
258,1
259,0
260,1
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,1
269,0
270,1
271,0
272,1
273,0
274,1
275,1
276,1
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,1
285,0
286,0
287,1
288,1
289,1
290,1
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,1
300,0
301,1
302,0
303,0
304,0
305,0
306,1
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,1
315,0
316,0
317,1
318,1
319,0
320,1
321,0
322,0
323,0
324,0
325,0
326,0
327,1
328,0
329,0
330,0
331,0
332,0
333,1
334,1
335,1
336,1
337,0
338,0
339,1
340,0
341,0
342,0
343,0
344,0
345,0
346,1
347,0
348,0
349,0
350,0
351,0
352,0
353,1
354,1
355,1
356,0
357,0
358,1
359,0
360,0
361,0
362,0
363,0
364,0
365,1
366,0
367,0
368,0
369,0
370,0
371,1
372,0
373,0
374,0
375,0
376,0
377,1
378,0
379,0
380,0
381,1
382,0
383,1
384,0
385,1
386,1
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,0
399,0
400,0
401,0
402,1
403,0
404,0
405,0
406,0
407,0
408,1
409,1
410,1
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,1
419,1
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,1
431,0
432,0
433,1
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,1
446,1
447,0
448,0
449,0
450,0
451,0
452,0
453,1
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,1
463,1
464,0
465,0
466,0
467,0
468,0
469,1
470,0
471,1
472,0
473,0
474,1
475,1
476,0
477,0
478,1
479,1
480,0
481,1
482,0
483,0
484,1
485,0
486,0
487,0
488,1
489,0
490,0
491,1
492,0
493,0
494,1
495,0
496,0
497,1
498,1
499,0
500,0
501,0
502,0
503,0
504,1
505,0
506,1
507,1
508,0
509,0
510,0
511,1
512,0
513,0
514,1
515,0
516,0
517,1
518,0
519,0
520,0
521,0
522,1
523,1
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
